id,visitors
air_00a91d42b08b08d9_2017-04-23,13.488889
air_00a91d42b08b08d9_2017-04-24,25.001715
air_00a91d42b08b08d9_2017-04-25,34.280712
air_00a91d42b08b08d9_2017-04-26,35.77304
air_00a91d42b08b08d9_2017-04-27,37.68852
air_00a91d42b08b08d9_2017-04-28,44.450493
air_00a91d42b08b08d9_2017-04-29,8.073278
air_00a91d42b08b08d9_2017-04-30,14.089905
air_00a91d42b08b08d9_2017-05-01,23.601313
air_00a91d42b08b08d9_2017-05-02,28.5549
air_00a91d42b08b08d9_2017-05-03,15.992058
air_00a91d42b08b08d9_2017-05-04,17.908552
air_00a91d42b08b08d9_2017-05-05,22.049438
air_00a91d42b08b08d9_2017-05-06,10.558582
air_00a91d42b08b08d9_2017-05-07,12.156334
air_00a91d42b08b08d9_2017-05-08,24.039074
air_00a91d42b08b08d9_2017-05-09,30.347652
air_00a91d42b08b08d9_2017-05-10,33.09169
air_00a91d42b08b08d9_2017-05-11,34.48853
air_00a91d42b08b08d9_2017-05-12,38.391315
air_00a91d42b08b08d9_2017-05-13,11.167127
air_00a91d42b08b08d9_2017-05-14,13.066364
air_00a91d42b08b08d9_2017-05-15,24.831337
air_00a91d42b08b08d9_2017-05-16,32.809376
air_00a91d42b08b08d9_2017-05-17,35.551926
air_00a91d42b08b08d9_2017-05-18,37.64578
air_00a91d42b08b08d9_2017-05-19,42.252293
air_00a91d42b08b08d9_2017-05-20,12.372163
air_00a91d42b08b08d9_2017-05-21,13.825832
air_00a91d42b08b08d9_2017-05-22,26.835815
air_00a91d42b08b08d9_2017-05-23,35.186356
air_00a91d42b08b08d9_2017-05-24,38.762615
air_00a91d42b08b08d9_2017-05-25,39.874794
air_00a91d42b08b08d9_2017-05-26,46.658268
air_00a91d42b08b08d9_2017-05-27,14.042124
air_00a91d42b08b08d9_2017-05-28,14.435576
air_00a91d42b08b08d9_2017-05-29,29.581474
air_00a91d42b08b08d9_2017-05-30,36.657135
air_00a91d42b08b08d9_2017-05-31,41.67617
air_0164b9927d20bcc3_2017-04-23,2.216984
air_0164b9927d20bcc3_2017-04-24,5.314136
air_0164b9927d20bcc3_2017-04-25,9.160617
air_0164b9927d20bcc3_2017-04-26,8.561887
air_0164b9927d20bcc3_2017-04-27,8.691051
air_0164b9927d20bcc3_2017-04-28,8.367167
air_0164b9927d20bcc3_2017-04-29,3.5868535
air_0164b9927d20bcc3_2017-04-30,2.3896036
air_0164b9927d20bcc3_2017-05-01,6.3057714
air_0164b9927d20bcc3_2017-05-02,8.280592
air_0164b9927d20bcc3_2017-05-03,5.4046745
air_0164b9927d20bcc3_2017-05-04,5.1092315
air_0164b9927d20bcc3_2017-05-05,6.1887374
air_0164b9927d20bcc3_2017-05-06,2.9414556
air_0164b9927d20bcc3_2017-05-07,2.0002186
air_0164b9927d20bcc3_2017-05-08,5.9989424
air_0164b9927d20bcc3_2017-05-09,8.748286
air_0164b9927d20bcc3_2017-05-10,8.0740795
air_0164b9927d20bcc3_2017-05-11,7.915024
air_0164b9927d20bcc3_2017-05-12,7.459037
air_0164b9927d20bcc3_2017-05-13,2.9676816
air_0164b9927d20bcc3_2017-05-14,2.1147377
air_0164b9927d20bcc3_2017-05-15,5.7404695
air_0164b9927d20bcc3_2017-05-16,9.053433
air_0164b9927d20bcc3_2017-05-17,8.556688
air_0164b9927d20bcc3_2017-05-18,8.318126
air_0164b9927d20bcc3_2017-05-19,8.510489
air_0164b9927d20bcc3_2017-05-20,3.111558
air_0164b9927d20bcc3_2017-05-21,2.293718
air_0164b9927d20bcc3_2017-05-22,5.741993
air_0164b9927d20bcc3_2017-05-23,9.602231
air_0164b9927d20bcc3_2017-05-24,9.0790825
air_0164b9927d20bcc3_2017-05-25,9.232854
air_0164b9927d20bcc3_2017-05-26,9.373746
air_0164b9927d20bcc3_2017-05-27,3.3642635
air_0164b9927d20bcc3_2017-05-28,2.5002773
air_0164b9927d20bcc3_2017-05-29,6.0811796
